documentId,title,slug,publishedAt,updatedAt,author,category,mainImage,excerptOrMetaDescription,state,originalWebflowSlug
post-when-branding-does-and-doesnt-matter,When Branding Does (and Doesn’t) Matter,when-branding-does-and-doesnt-matter,2025-06-11T11:27:07.000Z,2025-05-13T15:04:31.000Z,Hannes Oosthuizen,Startup Stack,present,"There’s a massive misunderstanding sitting in most boardrooms: branding is not your logo. Or your font. Or your hover states. Branding is perception — and getting it wrong can cost millions. Here's the real definition, when it matters, and ",published,when-branding-does-and-doesnt-matter
post-empowering-founders,Empowering Founders,empowering-founders,2025-06-11T11:27:07.000Z,2025-05-12T12:53:32.000Z,Hannes Oosthuizen,Empowering Dreams,present,"As a founder, you know this: a good idea isn’t enough. Execution is everything. And to execute at scale, you need a partner who can move as fast as you do. At Nexubis, we don’t just design—we help you build systems that make your business r",published,empowering-founders
post-keep-firing-yourself,Keep Firing Yourself,keep-firing-yourself,2025-06-11T11:27:07.000Z,2025-05-09T12:16:13.000Z,Hannes Oosthuizen,Founders Diary,present,"I nearly broke the company by trying to hold it together. Want to know the turning point? I stopped being essential. At some point, your company outgrows you — or it dies. The hardest lesson I’ve learned as a founder? You have to fire yours",published,keep-firing-yourself
post-how-we-work,How We Work,how-we-work,2025-06-11T11:27:07.000Z,2025-05-08T14:06:48.000Z,Hannes Oosthuizen,Founders Diary,present,"Nexubis wasn’t built to play it safe. It was built to do things differently — with purpose, with momentum, and with a team that actually gives a damn.",published,how-we-work
post-the-tech-stack-we-actually-recommend,The Tech Stack We Actually Recommend,the-tech-stack-we-actually-recommend,2025-06-11T11:27:07.000Z,2025-05-07T15:43:59.000Z,Hannes Oosthuizen,Startup Stack,present,"Your tech stack can make or break your startup—but not because of which tools you use. It’s about how and when you pick them. This no-fluff guide breaks down the real tools we use at Nexubis, why we use them, and what early-stage founders s",published,the-tech-stack-we-actually-recommend
post-empowering-teams,Empowering Teams,empowering-teams,2025-06-11T11:27:07.000Z,2025-05-06T14:06:32.000Z,Hannes Oosthuizen,Empowering Dreams,present,"At Nexubis, we believe that without a growing, evolving, and curious team, a company stalls. That’s why we prioritize empowering our people to challenge the norm, ask better questions, and innovate continuously. From personal development ro",published,empowering-teams
post-ai-isnt-coming-its-already-here,AI Isn’t Coming — It’s Already Here,ai-isnt-coming-its-already-here,2025-06-11T11:27:07.000Z,2025-05-09T09:34:06.000Z,Hannes Oosthuizen,Artificial Intelligence,present,"AI is no longer a future concept; it's a present-day reality reshaping industries. While debated, the crucial point is its permanence. My own journey, from design studies in 2020 to using ChatGPT to build a complex JS page in hours, proved ",published,ai-isnt-coming-its-already-here
post-what-early-stage-founders-spend-way-too-much-time-on,Startup Time Traps,what-early-stage-founders-spend-way-too-much-time-on,2025-06-11T11:27:07.000Z,2025-05-08T11:50:14.000Z,Hannes Oosthuizen,Startup Stack,present,"Early-stage founders often fall into time-wasting traps. Stop obsessing over perfecting your MVP; its purpose is to ship and learn fast, not be flawless. Don't get lost tweaking logos or drowning in documentation and meetings – focus on bui",published,what-early-stage-founders-spend-way-too-much-time-on
post-how-it-all-started-and-almost-didnt,How It All Started (and Almost Didn’t),how-it-all-started-and-almost-didnt,2025-06-11T11:27:07.000Z,2025-04-30T13:30:48.000Z,Hannes Oosthuizen,Founders Diary,present,"Nexubis launched in May 2023, initially operating as a behind-the-scenes white-label Webflow agency built on founder relationships. Soul-crushing invisibility led to a strategic shift: prioritizing direct client partnerships and retainers o",published,how-it-all-started-and-almost-didnt
post-how-we-landed-on-empowering-dreams,How We Landed on Empowering Dreams,how-we-landed-on-empowering-dreams,2025-06-11T11:27:07.000Z,2025-05-08T11:49:31.000Z,Hannes Oosthuizen,Empowering Dreams,present,"Finding the right slogan for Nexubis wasn't easy. Inspired by iconic brands whose slogans reflect their core identity, we needed more than just a catchy line. ""Empowering Dreams"" emerged because it resonated with our mission: empowering cli",published,how-we-landed-on-empowering-dreams
post-welcome-to-dreamlab,Welcome to Dreamlab,welcome-to-dreamlab,2025-11-06T10:44:45.000Z,2025-11-06T10:44:37.000Z,Hannes Oosthuizen,Empowering Dreams,present,"Introducing Dreamlab, the Nexubis blog where we share our real-time journey – the systems we're building, the culture we're refining, the tools we're experimenting with, and the lessons learned helping clients navigate the startup world. Th",published,welcome-to-dreamlab
